Number of files,Found transformations
1,198
2,422
3,422
4,629
5,635
6,668
7,699
8,837
9,848
10,858
11,858
12,1033
13,1033
14,1062
15,1062
16,1117
17,1134
18,1140
19,1221
20,1221
21,1221
22,1306
23,1332
24,1333
25,2320
26,2359
27,2359
28,2387
29,2387
30,2387
31,2387
32,2387
33,2389
34,2389
35,2389
36,2389
37,2389
38,2389
39,2389
40,2389
41,2389
42,2389
43,2389
44,2389
45,2389
46,2600
47,2600
48,2600
49,2600
50,2600
51,2600
52,2600
53,2600
54,2600
55,2600
56,2600
57,2626
58,2626
59,2626
60,2626
61,2626
62,2640
63,2640
64,2640
65,2640
66,2640
67,2642
68,2674
69,2674
70,2674
71,2674
72,2674
73,2674
74,2674
75,2674
76,2674
77,2674
78,2674
79,2698
80,2698
81,2702
82,2702
83,2702
84,2702
85,2702
86,2702
87,2702
88,2702
89,2702
90,2702
91,2702
92,2733
93,2745
94,2745
95,2745
96,2745
97,2745
98,2745
99,2745
100,2745
101,2745
102,2745
103,2745
104,2745
105,2745
106,2745
107,2752
108,2752
109,2752
110,2752
111,2752
112,2752
113,2752
114,2752
115,2752
116,2752
117,2752
118,2752
119,2752
120,2752
121,2752
122,2752
123,2752
124,2752
125,2752
126,2752
127,2752
128,2752
129,2752
130,2752
131,2752
132,2752
133,2752
134,2752
135,2752
136,2752
137,2752
138,2752
139,2752
140,2752
141,2752
142,2752
143,2752
144,2752
145,2752
146,2752
147,2752
148,2752
149,2752
150,2752
151,2752
152,2752
153,2752
154,2752
155,2752
156,2752
157,2752
158,2752
159,2752
160,2777
161,2785
162,2785
163,2785
164,2785
165,2785
166,2811
167,2887
168,2887
169,2887
170,2887
171,2887
172,2887
173,2887
174,2887
175,2887
176,2887
177,2887
178,2891
179,2891
180,2891
181,2891
182,2891
183,2891
184,2891
185,2891
186,2891
187,2891
188,2918
189,2918
190,2918
191,2918
192,2918
193,2918
194,2918
195,2918
196,2918
197,2918
198,2918
199,2918
200,2918
201,2918
202,2918
203,2918
204,2918
205,2918
206,2918
207,2918
208,2918
209,2918
210,2918
211,2918
212,2922
213,2922
214,2922
215,2922
216,2922
217,2922
218,2922
219,2922
220,2922
221,2922
222,2922
223,2922
224,2928
225,2928
226,2928
227,2931
228,2931
229,2931
230,2931
231,2931
232,2935
233,2935
234,2961
235,2961
236,2961
237,2961
238,2961
239,2961
240,2961
241,2961
242,2961
243,2961
244,2961
245,2961
246,3091
247,3091
248,3091
249,3091
250,3091
251,3091
252,3091
253,3091
254,3091
255,3091
256,3091
257,3091
258,3091
259,3091
260,3091
261,3091
262,3091
263,3091
264,3091
265,3091
266,3091
267,3091
268,3091
269,3091
270,3091
271,3091
272,3091
273,3091
274,3091
275,3091
276,3091
277,3091
278,3091
279,3091
280,3091
281,3091
282,3091
283,3091
284,3091
285,3091
286,3091
287,3091
288,3091
289,3091
290,3091
291,3091
292,3091
293,3091
294,3091
295,3091
296,3091
297,3091
298,3179
299,3179
300,3179
301,3179
302,3179
303,3179
304,3179
305,3179
306,3234
307,3234
308,3286
309,3286
310,3286
311,3286
312,3286
313,3286
314,3286
315,3286
316,3286
317,3286
318,3286
319,3286
320,3286
321,3286
322,3286
323,3286
324,3286
325,3286
326,3286
327,3286
328,3286
329,3286
330,3286
331,3286
332,3286
333,3286
334,3286
335,3286
336,3286
337,3286
338,3286
339,3286
340,3286
341,3286
342,3286
343,3286
344,3286
345,3286
346,3286
347,3286
348,3286
349,3286
350,3286
351,3286
352,3286
353,3286
354,3286
355,3286
356,3286
357,3286
358,3286
359,3286
360,3286
361,3286
362,3286
363,3286
364,3286
365,3286
366,3286
367,3286
368,3286
369,3286
370,3286
371,3286
372,3286
373,3286
374,3286
375,3288
376,3288
377,3288
378,3288
379,3288
380,3288
381,3288
382,3288
383,3288
384,3288
385,3288
386,3288
387,3288
388,3288
389,3288
390,3288
391,3288
392,3288
393,3288
394,3288
395,3288
396,3288
397,3288
398,3288
399,3288
400,3288
401,3288
402,3288
403,3288
404,3288
405,3288
406,3288
407,3288
408,3288
409,3288
410,3288
411,3288
412,3288
413,3288
414,3288
415,3288
416,3288
417,3288
418,3288
419,3288
420,3288
421,3288
422,3288
423,3288
424,3288
425,3288
426,3288
427,3288
428,3288
429,3288
430,3288
431,3288
432,3288
433,3288
434,3288
435,3288
436,3288
437,3288
438,3288
439,3288
440,3288
441,3288
442,3288
443,3288
444,3288
445,3288
446,3288
447,3289
448,3289
449,3289
450,3289
451,3289
452,3289
453,3289
454,3289
455,3289
456,3289
457,3289
458,3289
459,3289
460,3289
461,3289
462,3289
463,3289
464,3289
465,3289
466,3289
467,3289
468,3289
469,3289
470,3289
471,3289
472,3289
473,3289
474,3289
475,3289
476,3289
477,3289
478,3289
479,3289
480,3289
481,3289
482,3289
483,3289
484,3289
485,3289
486,3289
487,3289
488,3289
489,3289
490,3289
491,3289
492,3289
493,3289
494,3289
495,3289
496,3289
497,3289
498,3289
499,3289
500,3289
501,3289
502,3289
503,3289
504,3289
505,3289
506,3289
507,3289
508,3289
509,3289
510,3289
511,3321
512,3321
513,3321
514,3321
515,3321
516,3321
517,3321
518,3321
519,3321
520,3321
521,3321
522,3321
523,3321
524,3321
525,3321
526,3321
527,3321
528,3321
529,3321
530,3321
531,3321
532,3321
533,3321
534,3321
535,3321
536,3321
537,3321
538,3321
539,3321
540,3321
541,3321
542,3321
543,3321
544,3321
545,3321
546,3321
547,3321
548,3321
549,3321
550,3321
551,3321
552,3321
553,3321
554,3321
555,3321
556,3321
557,3321
558,3321
559,3321
560,3321
561,3321
562,3321
563,3321
564,3321
565,3321
566,3321
567,3321
568,3321
569,3321
570,3321
571,3321
572,3321
573,3321
574,3321
575,3321
576,3321
577,3321
578,3321
579,3321
580,3321
581,3321
582,3321
583,3321
584,3321
585,3321
586,3321
587,3321
588,3321
589,3321
590,3321
591,3321
592,3321
593,3321
594,3321
595,3321
596,3321
597,3321
598,3321
599,3321
600,3321
601,3321
602,3321
603,3321
604,3321
605,3321
606,3321
607,3321
608,3321
609,3321
610,3321
611,3321
612,3321
613,3357
614,3357
615,3357
616,3357
617,3357
618,3357
619,3357
620,3357
621,3357
622,3357
623,3357
624,3357
625,3357
626,3357
627,3357
628,3357
629,3357
630,3357
631,3357
632,3369
633,3372
634,3372
635,3372
636,3372
637,3372
638,3372
639,3382
640,3382
641,3382
642,3382
643,3382
644,3382
645,3382
646,3382
647,3382
648,3382
649,3382
650,3382
651,3382
652,3382
653,3382
654,3382
655,3382
656,3382
657,3382
658,3382
659,3382
660,3382
661,3382
662,3382
663,3382
664,3382
665,3382
666,3382
667,3382
668,3382
669,3388
670,3388
671,3388
672,3388
673,3388
674,3388
675,3388
676,3388
677,3388
678,3388
679,3388
680,3388
681,3388
682,3388
683,3388
684,3388
685,3388
686,3388
687,3388
688,3388
689,3388
690,3388
691,3388
692,3388
693,3388
694,3388
695,3388
696,3388
697,3388
698,3388
699,3388
700,3388
701,3388
702,3388
703,3388
704,3388
705,3388
706,3388
707,3388
708,3397
709,3397
710,3397
711,3397
712,3397
713,3397
714,3408
715,3408
716,3408
717,3408
718,3408
719,3408
720,3408
721,3408
722,3408
723,3408
724,3415
725,3415
726,3415
727,3415
728,3415
729,3415
730,3415
731,3415
732,3415
733,3415
734,3415
735,3415
736,3415
737,3415
738,3415
739,3415
740,3415
741,3415
742,3415
743,3415
744,3415
745,3415
746,3415
747,3415
748,3415
749,3415
750,3415
751,3415
752,3453
753,3453
754,3453
755,3453
756,3453
757,3473
758,3473
759,3473
760,3473
761,3530
762,3537
763,3537
764,3537
765,3537
766,3537
767,3537
768,3537
769,3537
770,3537
771,3537
772,3537
773,3537
774,3537
775,3537
776,3537
777,3537
778,3537
779,3537
780,3537
781,3537
782,3537
783,3537
784,3537
785,3537
786,3537
787,3537
788,3537
789,3537
790,3537
791,3537
792,3537
793,3537
794,3537
795,3537
796,3537
797,3537
798,3537
799,3537
800,3537
801,3537
802,3537
803,3537
804,3537
805,3537
806,3537
807,3537
808,3537
809,3537
810,3537
811,3537
812,3537
813,3537
814,3537
815,3537
816,3537
817,3537
818,3537
819,3537
820,3537
821,3537
822,3537
823,3537
824,3537
825,3537
826,3537
827,3537
828,3537
829,3537
830,3537
831,3537
832,3537
833,3537
834,3537
835,3537
836,3537
837,3537
838,3537
839,3537
840,3537
841,3537
842,3537
843,3537
844,3537
845,3537
846,3537
847,3537
848,3537
849,3537
850,3537
851,3537
852,3537
853,3537
854,3537
855,3537
856,3537
857,3537
858,3537
859,3537
860,3537
861,3537
862,3537
863,3537
864,3537
865,3537
866,3537
867,3537
868,3537
869,3537
870,3537
871,3537
872,3537
873,3537
874,3537
875,3537
876,3537
877,3537
878,3537
879,3537
880,3537
881,3537
882,3537
883,3537
884,3537
885,3537
886,3537
887,3537
888,3537
889,3537
890,3537
891,3537
892,3537
893,3537
894,3537
895,3537
896,3537
897,3537
898,3537
899,3537
900,3537
901,3537
902,3537
903,3537
904,3537
905,3537
906,3537
907,3537
908,3537
909,3537
910,3537
911,3537
912,3537
913,3537
914,3537
915,3537
916,3537
917,3537
918,3537
919,3537
920,3537
921,3537
922,3537
923,3537
924,3537
925,3537
926,3537
927,3537
928,3537
929,3537
930,3537
931,3537
932,3537
933,3537
934,3537
935,3537
936,3537
937,3537
938,3537
939,3537
940,3537
941,3537
942,3537
943,3537
944,3537
945,3537
946,3537
947,3537
948,3537
949,3537
950,3537
951,3581
952,3581
953,3581
954,3581
955,3581
956,3581
957,3581
958,3581
959,3581
960,3581
961,3581
962,3581
963,3581
964,3581
965,3581
966,3581
967,3581
968,3581
969,3581
970,3581
971,3581
972,3581
973,3581
974,3581
975,3581
976,3581
977,3581
978,3581
979,3581
980,3581
981,3581
982,3581
983,3581
984,3581
985,3581
986,3581
987,3581
988,3581
989,3581
990,3581
991,3581
992,3581
993,3581
994,3581
995,3581
996,3581
997,3581
998,3581
999,3581
1000,3581
1001,3581
1002,3581
1003,3581
1004,3581
1005,3581
1006,3581
1007,3581
1008,3581
1009,3581
1010,3581
1011,3581
1012,3581
1013,3581
1014,3581
1015,3581
1016,3581
1017,3581
1018,3581
1019,3581
1020,3581
1021,3581
1022,3581
1023,3581
1024,3581
1025,3581
1026,3581
1027,3581
1028,3581
1029,3581
1030,3581
1031,3581
1032,3581
1033,3581
1034,3581
1035,3581
1036,3581
1037,3581
1038,3581
1039,3581
1040,3581
1041,3581
1042,3581
1043,3581
1044,3581
1045,3581
1046,3581
1047,3581
1048,3581
1049,3581
1050,3581
1051,3581
1052,3581
1053,3581
1054,3581
1055,3581
1056,3581
1057,3581
1058,3581
1059,3581
1060,3581
1061,3581
1062,3581
1063,3581
1064,3581
1065,3581
1066,3581
1067,3581
1068,3581
1069,3581
1070,3581
1071,3581
1072,3581
1073,3581
1074,3581
1075,3581
1076,3581
1077,3581
1078,3581
1079,3581
1080,3581
1081,3581
1082,3581
1083,3581
1084,3581
1085,3581
1086,3581
1087,3581
1088,3581
1089,3581
1090,3581
1091,3581
1092,3581
1093,3581
1094,3581
1095,3581
1096,3581
1097,3581
1098,3581
1099,3581
1100,3581
1101,3581
1102,3581
1103,3581
1104,3581
1105,3581
1106,3581
1107,3581
1108,3581
1109,3581
1110,3581
1111,3581
1112,3581
1113,3581
1114,3581
1115,3581
1116,3581
1117,3581
1118,3581
1119,3581
1120,3581
1121,3581
1122,3581
1123,3581
1124,3581
1125,3581
1126,3581
1127,3581
1128,3581
1129,3581
1130,3581
1131,3581
1132,3581
1133,3581
1134,3581
1135,3581
1136,3581
1137,3581
1138,3581
1139,3581
1140,3581
1141,3581
1142,3581
1143,3581
1144,3581
1145,3581
