Number of files,Found parents
1,9
2,30
3,34
4,41
5,41
6,41
7,48
8,48
9,49
10,49
11,49
12,49
13,49
14,49
15,66
16,66
17,66
18,66
19,72
20,72
21,80
22,80
23,80
24,80
25,80
26,80
27,80
28,80
29,84
30,84
31,84
32,84
33,84
34,84
35,84
36,84
37,84
38,84
39,84
40,84
41,84
42,84
43,84
44,86
45,90
46,121
47,141
48,147
49,147
50,173
51,230
52,236
53,236
54,239
55,239
56,239
57,240
58,240
59,240
60,242
61,242
62,242
63,262
64,275
65,279
66,279
67,323
68,347
69,347
70,350
71,350
72,350
73,351
74,351
75,351
76,351
77,351
78,351
79,352
80,353
81,353
82,356
83,361
84,361
85,361
86,361
87,366
88,368
89,371
90,373
91,376
92,376
93,377
94,381
95,381
96,383
97,384
98,384
99,384
100,387
101,391
102,393
103,397
104,397
105,397
106,397
107,397
108,398
109,403
110,403
111,404
112,407
113,407
114,408
115,409
116,409
117,411
118,412
119,412
120,413
121,417
122,418
123,418
124,424
125,425
126,428
127,430
128,432
129,438
130,440
131,440
132,440
133,442
134,442
135,442
136,442
137,442
138,442
139,442
140,442
141,442
142,442
143,443
144,444
145,444
146,445
147,447
148,450
149,452
150,452
151,455
152,455
153,455
154,455
155,456
156,456
157,456
158,458
159,458
160,463
161,470
162,470
163,470
164,471
165,471
166,475
167,475
168,476
169,476
170,476
171,478
172,480
173,481
174,481
175,481
176,483
177,483
178,483
179,483
180,485
181,485
182,485
183,485
184,487
185,488
186,488
187,488
188,488
189,488
190,489
191,489
192,492
193,496
194,496
195,496
196,496
197,496
198,496
199,496
200,499
201,499
202,500
203,500
204,501
205,503
206,503
207,503
208,506
209,507
210,508
211,508
212,508
213,508
214,508
215,508
216,508
217,514
218,516
219,516
220,516
221,516
222,516
223,516
224,517
225,518
226,518
227,518
228,518
229,518
230,521
231,521
232,521
233,525
234,525
235,525
236,525
237,527
238,527
239,529
240,529
241,532
242,534
243,534
244,534
245,536
246,536
247,538
248,538
249,538
250,538
251,538
252,538
253,538
254,538
255,538
256,538
257,539
258,543
259,543
260,544
261,544
262,544
263,545
264,545
265,545
266,545
267,545
268,545
269,545
270,545
271,545
272,545
273,545
274,547
275,547
276,547
