File,HDD size,PT-HDD* size,PTL-HDD* size,
1447943512084-ourfuzz.json,85,18,18,
1447945884675-ourfuzz.json,12,12,12,
1448471301456-ourfuzz.json,35,28,28,
1448471935027-ourfuzz.json,32,15,15,
1448472471732-ourfuzz.json,60,34,34,
1448472541039-ourfuzz.json,25,17,17,
1448472870025-ourfuzz.json,29,29,29,
1448472966839-ourfuzz.json,340,31,31,
1448473087388-ourfuzz.json,69,28,28,
1448473211913-ourfuzz.json,84,38,38,
1448473234215-ourfuzz.json,312,39,39,
1448473539917-ourfuzz.json,46,28,28,
1448535783041-ourfuzz.json,24,19,19,
1448535987959-ourfuzz.json,24,24,24,
1448536994156-ourfuzz.json,37,30,30,
1448537079480-ourfuzz.json,234,81,39,
1448537429974-ourfuzz.json,72,28,28,
1448537753586-ourfuzz.json,53,28,28,
1448537774820-ourfuzz.json,94,28,28,
1448537775337-ourfuzz.json,77,28,28,
1448538651840-ourfuzz.json,167,24,24,
1448539439076-ourfuzz.json,114,38,38,
1448539929841-ourfuzz.json,135,28,28,
1448540318603-ourfuzz.json,50,13,13,
1448541024830-ourfuzz.json,24,24,24,
1448659046840-ourfuzz.json,49,18,18,
1448663935071-ourfuzz.json,60,28,28,
1448684457470-ourfuzz.json,172,28,28,
1448715239720-ourfuzz.json,17,17,17,
1448984532886-ourfuzz.json,14,14,18,
1449203601369-ourfuzz.json,13,13,13,
1465994674024.json,89,34,34,
1466001267564.json,61,25,25,
1466018278144.json,35,35,35,
1466021448676.json,52,24,24,
1466029196646.json,43,43,43,
1466035542981.json,51,45,45,
1466036716521.json,33,33,33,
1466037925263.json,41,41,41,
1466038429396.json,39,39,39,
1466058347257.json,29,18,18,
1466060717498.json,40,34,34,
1466060722031.json,26,26,26,
1466076779115.json,36,18,18,
